156,1967,549,1967,549,2181,156,2181,###
646,1939,1272,1939,1272,2166,646,2166,make
1359,1986,1855,1986,1855,2142,1359,2142,sure
1947,1897,2857,1897,2857,2160,1947,2160,nothing
3454,1862,3579,1862,3579,2071,3454,2071,###
3786,1855,3887,1855,3887,2061,3786,2061,###
157,2238,592,2238,592,2471,157,2471,and
687,2228,1083,2228,1083,2451,687,2451,the
1175,2208,2458,2208,2458,2491,1175,2491,equipment
2530,2231,2955,2231,2955,2450,2530,2450,you
3048,2137,3670,2137,3670,2364,3048,2364,need.
2934,1948,3037,1948,3037,2090,2934,2090,###
3054,1908,3143,1908,3143,2084,3054,2084,###
3166,1942,3277,1942,3277,2081,3166,2081,###
3308,1937,3427,1937,3427,2074,3308,2074,###
3604,1929,3708,1929,3708,2070,3604,2070,###
