650.000000,212.000000,740.000000,212.000000,740.000000,241.000000,650.000000,241.000000,CALL
278.000000,302.000000,323.000000,302.000000,323.000000,348.000000,278.000000,348.000000,CAMERA
59.000000,467.000000,94.000000,467.000000,94.000000,528.000000,59.000000,528.000000,CAN
508.000000,344.000000,564.000000,344.000000,564.000000,368.000000,508.000000,368.000000,CAUTION
254.000000,298.000000,298.000000,298.000000,298.000000,346.000000,254.000000,346.000000,COA
324.000000,312.000000,428.000000,312.000000,428.000000,346.000000,324.000000,346.000000,COHMB
290.000000,331.000000,312.000000,331.000000,312.000000,387.000000,290.000000,387.000000,DELICIOUS
546.000000,112.000000,636.000000,112.000000,636.000000,158.000000,546.000000,158.000000,DESSERT
253.000000,297.000000,305.000000,297.000000,305.000000,348.000000,253.000000,348.000000,DOLCE
290.000000,340.000000,344.000000,340.000000,344.000000,386.000000,290.000000,386.000000,DZEN
432.000000,391.000000,503.000000,391.000000,503.000000,412.000000,432.000000,412.000000,HURLEY
347.000000,311.000000,377.000000,311.000000,377.000000,353.000000,347.000000,353.000000,JEM
508.000000,344.000000,564.000000,344.000000,564.000000,368.000000,508.000000,368.000000,NUE
594.000000,232.000000,838.000000,232.000000,838.000000,276.000000,594.000000,276.000000,PINTU
546.000000,112.000000,636.000000,112.000000,636.000000,158.000000,546.000000,158.000000,ROE
324.000000,312.000000,428.000000,312.000000,428.000000,346.000000,324.000000,346.000000,SHANGHAI
324.000000,312.000000,428.000000,312.000000,428.000000,346.000000,324.000000,346.000000,SKYLIGHT
697.000000,254.000000,750.000000,254.000000,750.000000,277.000000,697.000000,277.000000,TAST
694.000000,238.000000,798.000000,238.000000,798.000000,276.000000,694.000000,276.000000,TEKS
290.000000,331.000000,312.000000,331.000000,312.000000,387.000000,290.000000,387.000000,TRAINING
637.000000,236.000000,831.000000,236.000000,831.000000,278.000000,637.000000,278.000000,TRAS
880.000000,253.000000,914.000000,253.000000,914.000000,291.000000,880.000000,291.000000,UEMURA
278.000000,302.000000,323.000000,302.000000,323.000000,348.000000,278.000000,348.000000,VRG
502.000000,339.000000,575.000000,339.000000,575.000000,360.000000,502.000000,360.000000,YELLOW
650.000000,212.000000,740.000000,212.000000,740.000000,240.000000,650.000000,240.000000,ZALORA
